0,Air Force
1,Akron
2,Alabama
3,Alabama A&M
4,Alabama St
5,Albany
6,Alcorn St
7,American
8,Arizona
9,Arizona St
10,Arkansas
11,Arkansas Little Rock
12,Arkansas Pine Bluff
13,Auburn
14,Austin Peay
15,BYU
16,Baylor
17,Belmont
18,Binghamton
19,Boise St
20,Boston College
21,Boston University
22,Bradley
23,Bucknell
24,Buffalo
25,Butler
26,Cal Irvine
27,Cal Poly
28,Cal St Bakersfield
29,Cal St Fullerton
30,Cal St Northridge
31,California
32,Central Connecticut St
33,Central Florida
34,Central Michigan
35,Charlotte
36,Chattanooga
37,Cincinnati
38,Clemson
39,Cleveland St
40,Coastal Carolina
41,College of Charleston
42,Colorado
43,Colorado St
44,Connecticut
45,Coppin St
46,Cornell
47,Creighton
48,Davidson
49,Dayton
50,DePaul
51,Delaware
52,Delaware St
53,Detroit
54,Drake
55,Duke
56,East Tennessee St
57,Eastern Kentucky
58,Eastern Washington
59,Fairleigh Dickinson
60,Florida
61,Florida A&M
62,Florida Atlantic
63,Florida Gulf Coast
64,Florida St
65,Fresno St
66,George Mason
67,George Washington
68,Georgetown
69,Georgia
70,Georgia St
71,Georgia Tech
72,Gonzaga
73,Hampton
74,Harvard
75,Hawaii
76,Holy Cross
77,Houston
78,IUPUI
79,Illinois
80,Illinois Chicago
81,Indiana
82,Indiana St
83,Iona
84,Iowa
85,Iowa St
86,Jackson St
87,Jacksonville St
88,James Madison
89,Kansas
90,Kansas St
91,Kent St
92,Kentucky
93,LSU
94,La Salle
95,Lafayette
96,Lamar
97,Lehigh
98,Liberty
99,Lipscomb
100,Long Beach St
101,Long Island Brooklyn
102,Louisiana Lafayette
103,Louisville
104,Loyola Chicago
105,Loyola Maryland
106,Manhattan
107,Marquette
108,Marshall
109,Maryland
110,Massachusetts
111,McNeese St
112,Memphis
113,Mercer
114,Miami
115,Miami Ohio
116,Michigan
117,Michigan St
118,Middle Tennessee St
119,Minnesota
120,Mississippi St
121,Mississippi Valley St
122,Missouri
123,Monmouth
124,Montana
125,Morehead St
126,Morgan St
127,Mount St Marys
128,Murray St
129,NC State
130,Nebraska
131,Nevada
132,New Mexico
133,New Mexico St
134,New Orleans
135,Niagara
136,Norfolk St
137,North Carolina
138,North Carolina A&T
139,North Carolina Central
140,North Dakota
141,North Dakota St
142,North Florida
143,North Texas
144,Northeastern
145,Northern Colorado
146,Northern Iowa
147,Northern Kentucky
148,Northwestern
149,Northwestern St
150,Notre Dame
151,Oakland
152,Ohio
153,Ohio St
154,Oklahoma
155,Oklahoma St
156,Old Dominion
157,Ole Miss
158,Oral Roberts
159,Oregon
160,Oregon St
161,Pacific
162,Penn St
163,Pennsylvania
164,Pepperdine
165,Pittsburgh
166,Portland St
167,Princeton
168,Providence
169,Purdue
170,Radford
171,Rhode Island
172,Richmond
173,Robert Morris
174,SMU
175,Sam Houston St
176,San Diego
177,San Diego St
178,Santa Barbara
179,Seton Hall
180,Siena
181,South Alabama
182,South Carolina
183,South Carolina St
184,South Dakota St
185,South Florida
186,Southeastern Louisiana
187,Southern
188,Southern Illinois
189,Southern Mississippi
190,St Bonaventure
191,St Johns
192,St Josephs
193,St Louis
194,St Marys
195,St Peters
196,Stanford
197,Stephen F Austin
198,Stony Brook
199,Syracuse
200,TCU
201,Temple
202,Tennessee
203,Texas
204,Texas A&M
205,Texas A&M Corpus Christi
206,Texas Arlington
207,Texas San Antonio
208,Texas Southern
209,Texas Tech
210,Troy
211,Tulsa
212,UAB
213,UC Davis
214,UCLA
215,UMBC
216,UNC Asheville
217,UNC Greensboro
218,UNC Wilmington
219,UNLV
220,USC
221,UTEP
222,Utah
223,Utah St
224,VCU
225,Valparaiso
226,Vanderbilt
227,Vermont
228,Villanova
229,Virginia
230,Virginia Tech
231,Wagner
232,Wake Forest
233,Washington
234,Washington St
235,Weber St
236,West Virginia
237,Western Kentucky
238,Western Michigan
239,Wichita St
240,Winthrop
241,Wisconsin
242,Wisconsin Green Bay
243,Wisconsin Milwaukee
244,Wofford
245,Wright St
246,Wyoming
247,Xavier
248,Yale
